Baslow c.p. [££££ ]SK258721,SK258721, 425800, 372100,-1.61483155625264,53.245315966941,01/12/1990,F,27/12/2007,
Baulker Lane c.p. SK611558,SK611558, 461100, 355800,-1.08900212609463,53.0959350079342,01/12/1990,F,27/12/2007,
Beacon Hill (Lower) SK522148,SK522148, 452200, 314800,-1.22846706324533,52.7283506616529,01/12/1990,F,27/12/2007,
Beacon Hill (Upper) SK510146,SK510146, 451000, 314600,-1.24626510917582,52.7266669909621,01/12/1990,F,27/12/2007,
Beeley Church SK264675,SK264675, 426400, 367500,-1.60621980167636,53.2039394531715,24/11/2002,F,27/12/2007,
Belper/ Far Laund SK363490,SK363490, 436300, 349000,-1.46009849942556,53.0370698769154,01/12/1990,F,27/12/2007,
Belper/ Market Place SK351474,SK351474, 435100, 347400,-1.47816716453845,53.0227676645182,01/12/1990,F,27/12/2007,
Belper/ Triangle SK345479,SK345479, 434500, 347900,-1.48705843641268,53.0273008909452,01/12/1990,F,27/12/2007,
Belper/Whitemoor La. SK364481,SK364481, 436400, 348100,-1.45870846753431,53.0289732791368,01/12/1990,F,27/12/2007,
Belton B5324 layby SK442203,SK442203, 444200, 320300,-1.34617974889002,52.7785007293765,01/12/1990,F,27/12/2007,
Bestwood (Lodge) Cy.Pk. SK572463,SK572463, 457200, 346300,-1.14891926018182,53.0109806341227,01/12/1990,F,27/12/2007,
Billesdon/Mkt. Pl. SK719028,SK719028, 471900, 302800,-0.93941531070438,52.6182369776406,01/12/1990,F,27/12/2007,
Bingham/Newgate St. c.p. SK703400,SK703400, 470300, 340000,-0.955071306953844,52.9528021332454,01/12/1990,F,27/12/2007,
Birch Hill layby SK490679,SK490679, 449000, 367900,-1.26783588170147,53.2059374784581,01/12/1990,F,27/12/2007,
Birchen Clough SK109914,SK109914, 410900, 391400,-1.83745658698537,53.4193070238243,01/12/1990,F,27/12/2007,
Birchen Edge c.p. SK280722,SK280722, 428000, 372200,-1.58185567222888,53.2461039793297,01/12/1990,F,27/12/2007,
Birkin Lane c.p. SK412672,SK412672, 441200, 367200,-1.38469830836189,53.200306840274,01/12/1990,F,27/12/2007,
Black Rocks c.p. [£ ]Wirksworth SK291557,SK291557, 429100, 355700,-1.56686576847023,53.0977330375109,24/11/2002,F,27/12/2007,
Blackbrook Hill layby SK461183,SK461183, 446100, 318300,-1.31829572617492,52.7603645644614,01/12/1990,F,27/12/2007,
Blidworth Bottoms SK595543,SK595543, 459500, 354300,-1.1131698387408,53.0826334454651,01/12/1990,F,27/12/2007,
Blidworth Tower SK584533,SK584533, 458400, 353300,-1.12977079255367,53.0737667387666,01/12/1990,F,27/12/2007,
Blithfield Resr. SK062239,SK062239, 406200, 323900,-1.90945331886026,52.8126268507331,01/12/1990,F,27/12/2007,
Blore Pastures c.p.[ NC ]SK135499,SK135499, 413500, 349900,-1.800076605902,53.0462155425024,24/03/2003,F,27/12/2007,
Borrowash/ Shopping Cr SK417346,SK417346, 441700, 334600,-1.38141966537369,52.9072401618721,01/12/1990,F,27/12/2007,
Bosworth Battlefield: Ambion Hill V.C. SK403001,SK403001, 440300, 300100,-1.40645729006323,52.5972232939711,01/12/1990,F,27/12/2007,
Bosworth Battlefield: Cheney Lane c.p. SK410005,SK410005, 441000, 300500,-1.39607405609927,52.600766848643,01/12/1990,F,27/12/2007,
Bosworth Battlefield: Shenton Stn SK397004,SK397004, 439700, 300400,-1.41527900496857,52.5999640835984,01/12/1990,F,27/12/2007,
Bosworth Battlefield: Sutton Cheney Whf. SP411994,SP411994, 441100, 299400,-1.39473385696921,52.5908710974586,01/12/1990,F,27/12/2007,
Bosworth Battlefield: White Moors SP385991,SP385991, 438500, 299100,-1.43314608652649,52.5883639154115,01/12/1990,F,27/12/2007,
Bottesford/Queen St. SK805390,SK805390, 480500, 339000,-0.803531391703164,52.942384678559,01/12/1990,F,27/12/2007,
Bowden Bridge SK049869,SK049869, 404900, 386900,-1.92780370624898,53.3789468459383,01/12/1990,F,27/12/2007,
Boylestone/Corner SK182356,SK182356, 418200, 335600,-1.73076987648161,52.9175333789248,01/12/1990,F,27/12/2007,
Brackenfield/Green SK367589,SK367589, 436700, 358900,-1.45300693360038,53.1260301214485,01/12/1990,F,27/12/2007,
Brackenhurst layby SK694425,SK694425, 469400, 342500,-0.967929948519307,52.975388588042,01/12/1990,F,27/12/2007,
"Bradley Wood, A517 SK197463",SK197463, 419700, 346300,-1.70781492724892,53.0136641845054,01/12/1990,F,27/12/2007,
Bradwell/ Stores SK174812,SK174812, 417400, 381200,-1.7402127230978,53.3274514878378,01/12/1990,F,27/12/2007,
Brailsford Church SK247413,SK247413, 424700, 341300,-1.63367082344094,52.9685130538544,01/12/1990,F,27/12/2007,
Bramcote Hills c.p. SK500384,SK500384, 450000, 338400,-1.2574369876441,52.9406909459003,01/12/1990,F,27/12/2007,
Breadsall SK370397,SK370397, 437000, 339700,-1.45071970880242,52.9534265020711,01/12/1990,F,27/12/2007,
Breaston/ The Green SK460335,SK460335, 446000, 333500,-1.31764380883317,52.8970029605578,01/12/1990,F,27/12/2007,
Breedon-On-Hill/Green SK404229,SK404229, 440400, 322900,-1.4021906314877,52.8021687627067,01/12/1990,F,27/12/2007,
Brereton Spurs P.S. SK038152,SK038152, 403800, 315200,-1.94515604768035,52.7344398567606,01/12/1990,F,27/12/2007,
Bridge End Pasture SK180885,SK180885, 418000, 388500,-1.73079217251536,53.3930477758597,01/12/1990,F,27/12/2007,
Brinsley P.S. SK464485,SK464485, 446400, 348500,-1.30955712479552,53.0317972873665,01/12/1990,F,27/12/2007,
Brook Fm. A50 layby SK462118,SK462118, 446200, 311800,-1.31772564719936,52.7019276303588,01/12/1990,F,27/12/2007,
Brookside SJ980681,SJ980681, 398000, 368100,-2.03140020575759,53.2099785983939,01/12/1990,F,27/12/2007,
Broombriggs SK523148,SK523148, 452300, 314800,-1.22698647714563,52.7283410306674,01/12/1990,F,27/12/2007,
Bulwell Hall Park SK534468,SK534468, 453400, 346800,-1.20546711306608,53.0158660653632,01/12/1990,F,27/12/2007,
Bulwell Hall Park SK538463,SK538463, 453800, 346300,-1.19958822339227,53.0113321883801,01/12/1990,F,27/12/2007,
Burntstump Cy. Pk. SK575506,SK575506, 457500, 350600,-1.14368334407226,53.0495967567333,01/12/1990,F,27/12/2007,
